,점수,일시,감상평
0,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
1,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
2,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
3,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
4,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
5,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
6,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
7,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
8,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
9,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
10,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
11,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
12,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
13,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
14,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
15,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
16,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
17,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
18,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
19,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
20,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
21,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
22,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
23,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
24,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
25,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
26,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
27,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
28,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
29,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
30,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
31,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
32,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
33,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
34,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
35,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
36,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
37,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
38,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
39,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
40,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
41,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
42,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
43,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
44,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
45,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
46,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
47,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
48,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
49,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
50,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
51,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
52,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
53,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
54,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
55,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
56,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
57,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
58,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
59,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
60,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
61,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
62,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
63,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
64,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
65,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
66,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
67,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
68,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
69,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
70,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
71,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
72,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
73,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
74,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
75,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
76,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
77,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
78,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
79,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
80,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
81,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
82,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
83,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
84,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
85,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
86,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
87,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
88,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
89,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
90,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
91,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
92,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
93,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
94,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
95,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
96,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
97,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
98,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
99,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
100,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
101,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
102,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
103,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
104,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
105,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
106,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
107,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
108,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
109,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
110,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
111,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
112,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
113,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
114,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
115,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
116,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
117,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
118,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
119,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
120,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
121,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
122,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
123,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
124,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
125,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
126,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
127,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
128,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
129,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
130,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
131,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
132,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
133,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
134,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
135,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
136,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
137,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
138,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
139,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
140,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
141,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
142,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
143,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
144,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
145,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
146,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
147,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
148,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
149,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
150,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
151,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
152,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
153,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
154,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
155,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
156,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
157,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
158,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
159,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
160,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
161,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
162,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
163,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
164,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
165,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
166,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
167,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
168,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
169,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
170,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
171,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
172,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
173,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
174,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
175,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
176,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
177,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
178,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
179,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
180,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
181,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
182,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
183,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
184,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
185,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
186,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
187,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
188,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
189,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
190,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
191,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
192,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
193,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
194,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
195,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
196,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
197,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
198,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
199,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
200,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
201,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
202,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
203,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
204,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
205,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
206,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
207,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
208,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
209,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
